,price,price_meter,surface,rooms,floor,max_floors,market,building_type,year_of_construction,lat,lon,rent
125,399000,8142.86,49,3,4,4,secondary,apartment building,1983,52.2301826,21.0362831,560
126,450000,10465.12,43,2,2,7,secondary,block of flats,1980,52.2194806,21.0256769,600
127,635000,11759.26,54,2,1,7,secondary,tenement house,2018,52.2197224,21.0228168,750
128,840000,15555.56,54,3,2,2,secondary,block of flats,1960,52.2514133,21.0105506,660
129,663000,13260,50,2,1,4,secondary,block of flats,1934,52.2496103,21.0118528,800
130,1200000,12631.58,95,4,4,5,secondary,apartment building,2017,52.2356862,21.0305931,450
131,580000,10000,58,4,4,4,secondary,block of flats,1970,52.2296756,21.0122287,350
132,765000,12750,60,3,1,7,secondary,tenement house,2012,52.2261486,21.013761,500
133,1880000,17735.85,106,4,2,3,secondary,apartment building,2006,52.2382627,21.0225347,670
134,1100000,12467.41,88.23,3,4,7,secondary,apartment building,2017,52.2296756,21.0122287,560
135,745000,11825.4,63,3,2,3,secondary,block of flats,2016,52.2560812,21.0052214,350
136,460000,9787.23,47,2,3,4,secondary,block of flats,2009,52.2443969,20.9820229,300
137,659000,10138.46,65,2,4,7,secondary,block of flats,2000,52.2424752,20.9956744,300
138,575000,8582.09,67,3,6,8,secondary,block of flats,2017,52.2247183,21.0149579,261
139,540000,11020.41,49,2,4,4,secondary,apartment building,2000,52.2338869,21.0162861,300
140,540000,9152.54,59,2,2,5,secondary,tenement house,1972,52.2111886,21.0473159,400
141,780000,9750,80,2,1,5,secondary,block of flats,1978,52.228361,21.0124691,400
142,450000,11538.46,39,2,2,8,secondary,tenement house,2009,52.2380666,21.011183,400
143,425000,11330.31,37.51,2,7,10,secondary,block of flats,1998,52.2101889,21.2294411,450
144,585000,13604.65,43,2,2,3,secondary,block of flats,2001,52.2560812,21.0052214,538
145,590000,11132.08,53,2,2,4,secondary,block of flats,1986,52.2514956,20.9982082,900
146,755000,12583.33,60,3,1,5,secondary,apartment building,1992,52.2189106,20.9976972,470
147,590000,9506.93,62.06,3,3,4,secondary,block of flats,2010,52.2495542,20.9867911,535
148,485000,11022.73,44,2,3,8,secondary,apartment building,2018,52.2387396,21.0249414,800
